Id,Start time,Completion time,Email,Name,Choose Chancellor/ Associate Deanship/School:,Chancellor Units,Deanship of Academic Affairs Units,Deanship of Investigation,Deanship of Students,Deanship of Administration,School of Medicine,School of Dental Medicine,School of Nursing,School of Pharmacy,School of Health Professions,Graduate School of Public Health,Staff or Faculty member completing this information (first and last name; Ex: Juan Del Pueblo),Institutional Email (@upr.edu),Project or Iniciative,Brief description of the project or initiative,Strategic Topic for the Project or Initiative,Select Goal for the ACADEMIC EXCELLENCE AND INNOVATION for the Project or Iniciative - A,Select Goal for the RESEARCH TRANSFORMATION for the Project or Iniciative - B,"Select Goal for the FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY for the Project or Iniciative - C",Select Goal for the WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT for the Project or Iniciative - D,Select the Objective of the selected Goal 1A,Select the Objective of the selected Goal 2A,Select the Objective of the selected Goal 3A,Select the Objective of the selected Goal 1B,Select the Objective of the selected Goal 1C,Select the Objective of the selected Goal 2C,Select the Objective of the selected Goal 3C,Select the Objective of the selected Goal 1D,Select the Objective of the selected Goal 2D,Select the Objective of the selected Goal 3D,Person Responsible for the Project or Initiative,Does the Project/Initiative have a source of income?,Source(s) of Income,Estimated cost of the strategy/initiative in US$ (Academic Year 2025-2026) (Example: 10000.00),Funding Status
185,01/21/2026 05:17,01/21/2026 05:19,christine.thompson@upr.edu,CHRISTINE THOMPSON,School of Health Professions,,,,,,,,,,Department of Radiologic Sciences,,Christine Thompson,christine.thompson@upr.edu,Peer Support Network - Enhanced optimizing standardization,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Ashley Huynh,No,,,N/A
186,01/21/2026 07:39,01/21/2026 07:41,peter.stephens@upr.edu,PETER STEPHENS,Chancellor,Accreditation and Assessment,,,,,,,,,,,Peter Stephens,peter.stephens@upr.edu,Energy Sustainability - Reverse-engineered tangible hierarchy,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Craig Wright,Yes,ROPR - PROYECTOS ESPECIALES (40399),38075.47,Existing
187,01/31/2026 17:08,01/31/2026 17:19,william.pruitt@upr.edu,WILLIAM PRUITT,School of Pharmacy,,,,,,,,,Department of Pharmaceutical Sciences,,,William Pruitt,william.pruitt@upr.edu,Energy Sustainability - Optimized 6thgeneration extranet,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Chelsea Steele,Yes,MGRC - CONTRATOS GOB MUNICIPAL (40260);ISTFA - AYUDA INST ASIST ECON EST (40275);CPPF - F MEJORAS DONATIVO PRIV (40280),207187.46,Existing
188,02/07/2026 06:21,02/07/2026 06:33,tyler.coffey@upr.edu,TYLER COFFEY,Graduate School of Public Health,,,,,,,,,,,Office of the Dean - Public Health,Tyler Coffey,tyler.coffey@upr.edu,Curriculum Enhancement - Inverse national process improvement,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Tiffany Morris,Yes,RENDINC - INGRESOS FONDO DOTAL (40370),211487.12,Pending
189,02/03/2026 04:16,02/03/2026 04:30,ruth.harrison@upr.edu,RUTH HARRISON,School of Medicine,,,,,,Department of Anatomy,,,,,,Ruth Harrison,ruth.harrison@upr.edu,Student Recruitment Campaign - Virtual multi-state customer loyalty,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Kyle Wyatt,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49),171422.76,New
190,01/24/2026 17:26,01/24/2026 17:36,ashley.sexton@upr.edu,ASHLEY SEXTON,School of Health Professions,,,,,,,,,,Department of Radiologic Sciences,,Ashley Sexton,ashley.sexton@upr.edu,Student Recruitment Campaign - Face-to-face fresh-thinking neural-net,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Steven Thompson,No,,,N/A
191,02/18/2026 11:58,02/18/2026 12:01,david.smith@upr.edu,DAVID SMITH,Dean of Administration,,,,,Human Resources,,,,,,,David Smith,david.smith@upr.edu,Research Training Program - Intuitive asynchronous focus group,This project aims to improve outcomes through innovative approaches and collaborative efforts.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Brittany Hall,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120),109834.97,Existing
192,02/14/2026 23:59,02/15/2026 00:06,emily.shea@upr.edu,EMILY SHEA,School of Health Professions,,,,,,,,,,Department of Respiratory Therapy,,Emily Shea,emily.shea@upr.edu,Health Screening Program - Balanced even-keeled process improvement,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Jonathan Duncan,No,,,N/A
193,02/02/2026 00:22,02/02/2026 00:27,lindsay.nunez@upr.edu,LINDSAY NUNEZ,School of Medicine,,,,,,Department of Obstetrics and Gynecology,,,,,,Lindsay Nunez,lindsay.nunez@upr.edu,Campus Recreation Program - Face-to-face motivating archive,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Richard James,Yes,ISTFA - AYUDA INST ASIST ECON EST (40275);MGRC - CONTRATOS GOB MUNICIPAL (40260);SSTFA - F ESTATAL AYUDA ECON (20241-49),21427.46,Existing
194,02/16/2026 14:50,02/16/2026 14:58,james.castillo@upr.edu,JAMES CASTILLO,Graduate School of Public Health,,,,,,,,,,,Department of Epidemiology,James Castillo,james.castillo@upr.edu,Wellness Program - Implemented executive groupware,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Angela Osborne,No,,,N/A
195,02/18/2026 06:40,02/18/2026 06:47,stacie.delacruz@upr.edu,STACIE DELACRUZ,Dean of Administration,,,,,Office of the Dean of Administration,,,,,,,Stacie Delacruz,stacie.delacruz@upr.edu,Data Analysis Center - Integrated context-sensitive success,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Wendy Hawkins,No,,,N/A
196,02/13/2026 00:27,02/13/2026 00:30,matthew.holmes@upr.edu,MATTHEW HOLMES,Chancellor,RCM Central Administration,,,,,,,,,,,Matthew Holmes,matthew.holmes@upr.edu,Energy Sustainability - Synchronized disintermediate complexity,This project aims to improve outcomes through innovative approaches and collaborative efforts.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Molly Goodman,Yes,PPMI - MEDICAL PRACTIVE PLAN (40311);SSTFA - F ESTATAL AYUDA ECON (20241-49),181486.12,Pending
197,02/12/2026 03:25,02/12/2026 03:30,amanda.taylor@upr.edu,AMANDA TAYLOR,School of Health Professions,,,,,,,,,,Department of Medical Technology,,Amanda Taylor,amanda.taylor@upr.edu,Grant Writing Support - Configurable bi-directional matrices,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Scott Weber,Yes,EMPAUX - F EMP AUX (20181);SSTFA - F ESTATAL AYUDA ECON (20241-49),42634.64,New
198,02/13/2026 02:36,02/13/2026 02:44,donald.mendoza@upr.edu,DONALD MENDOZA,Dean of Administration,,,,,Purchasing Office,,,,,,,Donald Mendoza,donald.mendoza@upr.edu,Student Recruitment Campaign - Synchronized client-server utilization,This initiative will transform our operations through technology and process improvement.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Bridget Conley,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120);EMPAUX - F EMP AUX (20181),76859.84,New
199,01/30/2026 23:11,01/30/2026 23:18,angela.avila@upr.edu,ANGELA AVILA,School of Health Professions,,,,,,,,,,Department of Communicative Disorders,,Angela Avila,angela.avila@upr.edu,Technology Modernization - Multi-tiered cohesive strategy,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Michael Luna,Yes,RMF - F PAREO GRANTS (40320);FSTAID - F AYUDA ECON FED (40210-29),241179.08,New
200,01/26/2026 17:54,01/26/2026 18:00,connie.ward@upr.edu,CONNIE WARD,Graduate School of Public Health,,,,,,,,,,,Department of Health Policy and Management,Connie Ward,connie.ward@upr.edu,Laboratory Equipment Upgrade - Balanced next generation implementation,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Robert Nichols,Yes,SGOVC - CONTRATOS GOB PR (40250);CPFF - F MEJORAS FONDOS FEDERALES (40470);CPF - MEJORAS PERMANENTES (40411-69),45801.88,Pending
201,02/16/2026 11:31,02/16/2026 11:33,bethany.parker@upr.edu,BETHANY PARKER,School of Nursing,,,,,,,,Undergraduate Nursing Programs,,,,Bethany Parker,bethany.parker@upr.edu,Community Outreach Initiative - Customizable multi-state hardware,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Shannon Coffey,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280);EMPAUX - F EMP AUX (20181),179093.86,New
202,02/14/2026 05:13,02/14/2026 05:16,glenda.jones@upr.edu,GLENDA JONES,School of Nursing,,,,,,,,Nursing Research,,,,Glenda Jones,glenda.jones@upr.edu,Peer Support Network - Integrated transitional moratorium,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Renee Obrien,Yes,CPF - MEJORAS PERMANENTES (40411-69);CPF - MEJORAS PROJETOS FEMA (40471);CDBGMF - PAREO PROYECTOS FEMA (40472),228685.91,Existing
203,02/17/2026 18:38,02/17/2026 18:52,daniel.ross@upr.edu,DANIEL ROSS,Dean of Students,,,,Housing Office,,,,,,,,Daniel Ross,daniel.ross@upr.edu,Space Renovation Project - Reverse-engineered asymmetric hardware,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Richard Warren,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120),65425.85,Pending
204,02/09/2026 23:47,02/10/2026 00:00,douglas.taylor@upr.edu,DOUGLAS TAYLOR,School of Pharmacy,,,,,,,,,Drug Information Center,,,Douglas Taylor,douglas.taylor@upr.edu,Data Analysis Center - Decentralized user-facing collaboration,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Jennifer Jackson,Yes,GF - FONDO GENERAL (40110);RENDINC - INGRESOS FONDO DOTAL (40370),27032.79,New
205,01/26/2026 20:50,01/26/2026 20:53,john.velasquez@upr.edu,JOHN VELASQUEZ,Dean of Academic Affairs,,Graduate Studies,,,,,,,,,,John Velasquez,john.velasquez@upr.edu,Financial Reporting Enhancement - Enterprise-wide radical project,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Juan Booker,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120);REVF - FONDOS ROTATORIOS (40380),180776.49,New
206,02/07/2026 10:58,02/07/2026 11:05,erica.hoffman@upr.edu,ERICA HOFFMAN,Dean of Academic Affairs,,Curricular Development,,,,,,,,,,Erica Hoffman,erica.hoffman@upr.edu,Academic Advising System - Optional uniform portal,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Christopher Vasquez,Yes,MGRC - CONTRATOS GOB MUNICIPAL (40260);ROPR - PROYECTOS ESPECIALES (40399);FSTAID - F AYUDA ECON FED (40210-29),138425.66,New
207,01/28/2026 19:28,01/28/2026 19:38,diane.taylor@upr.edu,DIANE TAYLOR,School of Dental Medicine,,,,,,,Department of Orthodontics,,,,,Diane Taylor,diane.taylor@upr.edu,Laboratory Equipment Upgrade - Extended analyzing capability,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Dr. Jo Smith MD,Yes,CPF - MEJORAS PROJETOS FEMA (40471);SGOVC - CONTRATOS GOB PR (40250);REVF - FONDOS ROTATORIOS (40380),148458.59,New
208,02/16/2026 18:09,02/16/2026 18:11,james.stevens@upr.edu,JAMES STEVENS,Dean of Students,,,,Student Counseling,,,,,,,,James Stevens,james.stevens@upr.edu,Financial Reporting Enhancement - Configurable uniform portal,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Brianna Fisher,Yes,SGOVC - CONTRATOS GOB PR (40250);REVF - FONDOS ROTATORIOS (40380),29374.79,Pending
209,02/07/2026 04:34,02/07/2026 04:49,andrew.baker@upr.edu,ANDREW BAKER,School of Nursing,,,,,,,,Nursing Research,,,,Andrew Baker,andrew.baker@upr.edu,Administrative Automation - Adaptive needs-based utilization,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Curtis Pena,Yes,CPF - MEJORAS PROJETOS FEMA (40471);FSTAID - F AYUDA ECON FED (40210-29),203620.83,Pending
210,02/01/2026 23:45,02/01/2026 23:59,brandi.hernandez@upr.edu,BRANDI HERNANDEZ,Dean of Administration,,,,,Facilities Management,,,,,,,Brandi Hernandez,brandi.hernandez@upr.edu,Student Success Initiative - Innovative homogeneous success,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Cody Miller,Yes,FSTAID - F AYUDA ECON FED (40210-29),93953.21,Existing
211,01/26/2026 17:20,01/26/2026 17:30,vernon.robertson@upr.edu,VERNON ROBERTSON,School of Dental Medicine,,,,,,,Department of Orthodontics,,,,,Vernon Robertson,vernon.robertson@upr.edu,Data Analysis Center - Adaptive leadingedge capability,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Justin Bullock,Yes,FSTAID - F AYUDA ECON FED (40210-29);RENDINC - INGRESOS FONDO DOTAL (40370);ISTFA - AYUDA INST ASIST ECON EST (40275),35933.84,New
212,02/05/2026 07:08,02/05/2026 07:23,christina.sanchez@upr.edu,CHRISTINA SANCHEZ,School of Nursing,,,,,,,,Nursing Research,,,,Christina Sanchez,christina.sanchez@upr.edu,Faculty Development Program - Mandatory fault-tolerant model,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Casey Beltran,No,,,N/A
213,02/11/2026 08:35,02/11/2026 08:45,olivia.newman@upr.edu,OLIVIA NEWMAN,School of Pharmacy,,,,,,,,,Pharmacy Experiential Education,,,Olivia Newman,olivia.newman@upr.edu,Health Education Campaign - User-centric leadingedge orchestration,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Amanda Johnston,Yes,GF - FONDO GENERAL (40110);MGRC - CONTRATOS GOB MUNICIPAL (40260);ISTFA - AYUDA INST ASIST ECON EST (40275),9141.08,Existing
